TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AmountToBalanceRatio,AmountPerLogin,TransactionHour,TimeOfDay,KMeans_Cluster,Potential_Fraud
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,0.0027561465589240742,14.08999998591,16,2,0,False
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,0.027345189408170607,376.23999962375996,16,2,0,False
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,0.11252283155868267,126.28999987371,18,2,0,False
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,0.0215309497191032,184.4999998155,16,2,0,False
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,0.001810374996634747,13.449999986549999,17,2,0,False
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,0.11788711493179066,92.14999990785,17,2,0,False
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,0.0005316628506590193,7.0799999929199995,16,2,0,False
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,0.061303750750986576,171.41999982857996,17,2,0,False
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,0.011679864191204129,106.22999989377,16,2,0,False
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,0.7984890593799678,815.9599991840399,16,2,0,False
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,0.0023396214497754674,17.77999998222,16,2,0,False
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,2024-11-04 08:07:12,0.12429275057062403,190.01999980998,17,2,0,False
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,2024-11-04 08:08:38,0.30525549067276625,494.5199995054799,17,2,0,False
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,2024-11-04 08:07:06,4.121250461257203,781.75999921824,16,2,1,True
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2024-11-04 08:10:09,0.5567632447552537,166.98999983301,16,2,0,False
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2024-11-04 08:12:19,0.13430807320067456,465.44999953454993,16,2,0,False
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,2024-11-04 08:07:35,0.4913105740497398,555.7999994441999,16,2,0,False
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:51,0.09646436280445941,492.92999950706997,18,2,0,False
TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,2024-11-04 08:12:01,0.0023501673928110604,18.679999981319998,16,2,0,False
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,0.01088209189491034,71.47999992852,18,2,0,False
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,0.01031492516810262,59.31999994068,16,2,0,False
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,0.009377675294301847,85.76999991422998,18,2,0,False
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,0.005816201351987613,52.1999999478,18,2,0,False
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,2024-11-04 08:07:04,0.2465882352939418,115.27999996157332,18,2,0,False
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,2024-11-04 08:07:09,0.07537183577076927,145.53999985445998,16,2,0,False
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,2024-11-04 08:09:44,0.0020607097755774087,7.48999999251,17,2,0,False
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,2024-11-04 08:11:38,0.36671864557753514,49.3859999901228,16,2,0,False
TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,2024-11-04 08:11:59,0.0150082634783977,40.31999995968,16,2,0,False
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2024-11-04 08:11:22,0.0719219439521958,127.44999987255,16,2,0,False
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,2024-11-04 08:08:30,0.04155538622018247,56.16999994383,16,2,0,False
TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,2024-11-04 08:09:17,0.0033967366851157424,28.309999971689997,17,2,0,False
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,2024-11-04 08:06:58,0.0060181358437395895,59.11999994087999,16,2,0,False
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,2024-11-04 08:11:13,0.040912679370284165,132.14999995595,16,2,0,False
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,2024-11-04 08:07:50,2.2000250626511275,877.8099991221899,17,2,1,False
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,2024-11-04 08:10:51,0.017228822877089413,255.25999974473996,16,2,0,False
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,2024-11-04 08:06:23,0.02164198781553629,124.75999987524,16,2,0,False
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,2024-11-04 08:12:18,0.08675231232155232,78.12999992187,16,2,0,False
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,2024-11-04 08:11:15,0.13316214985661334,649.2799993507199,17,2,0,False
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,2024-11-04 08:11:17,0.10048288792753642,397.65499980117244,17,2,0,False
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,2024-11-04 08:07:32,0.3292459215802301,335.62999966436996,17,2,0,False
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,2024-11-04 08:07:31,0.07597035844629875,328.46999967153,18,2,0,False
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,2024-11-04 08:11:45,0.002393334121262094,34.01999996598,16,2,0,False
TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,2024-11-04 08:09:03,0.0180743908446631,241.41999975857996,18,2,0,False
TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,2024-11-04 08:08:03,0.22879358120588614,55.31999994468,16,2,0,False
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,0.35034134997254196,304.30999969568995,16,2,0,False
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,2024-11-04 08:11:12,0.09314014995889543,435.26999956472997,17,2,0,False
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,2024-11-04 08:10:33,0.10898646365454227,164.48999983551,16,2,0,False
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,2024-11-04 08:11:35,0.6527312268125205,510.23999948975995,16,2,0,False
